Lev0	Jaro	Jaro_Winkler	Ratio	Sorensen	Jaccard	Lev1	Lev2	Dice2	Dice3	Dice4	CosWords	Cos2	wLev0	wJaro	wJaro_Winkler	wRatio	wSorensen	wJaccard	wLev1	wLev2	wDice2	wDice3	wDice4	wCosWords	wCos2	intercept	AUC
0	1	1	1	0	1	1	1	0	1	1	1	1	0.0	1.9772152689	-1.13232908933	0.614403323659	0.0	-0.145685714918	-0.716299284617	-0.916331473738	0.0	1.89944658471	-0.335104746195	1.18883825738	0.746495064255	-2.45970638774	0.951154473089
0	1	1	1	0	1	1	1	1	0	1	1	1	0.0	1.78956494493	-1.07405774496	0.249401913301	0.0	-0.306932122085	-1.01799305348	-1.18769096626	2.54984386156	0.0	0.357657698743	1.02196332641	0.639259424082	-2.19287295187	0.950877526152
0	1	1	1	0	1	1	1	1	1	0	1	1	0.0	1.73412789002	-1.09163061322	0.182586382824	0.0	-0.29545491809	-1.031082333	-1.17488554462	2.26352220046	0.811472244986	0.0	1.0369264516	0.56240303074	-2.19643937179	0.952547120543
0	1	1	1	0	1	1	1	1	1	1	0	1	0.0	1.5315434547	-0.652195550481	-0.187123342159	0.0	-0.304247788149	-1.27424495139	-1.4397655049	3.00265819903	0.839519298257	-0.00637812904643	0.0	1.56114636436	-2.44613040516	0.949556093624
0	1	1	1	0	1	1	1	1	1	1	1	0	0.0	1.74768923671	-1.10900227591	0.227289250081	0.0	-0.273203516849	-1.07582844646	-1.24713049749	2.41154388796	1.33449860634	-0.283899834391	1.2177261775	0.0	-2.15489434361	0.953053537799
0	1	1	1	1	0	1	1	1	1	1	1	1	0.0	1.69074941107	-1.0768983844	0.112723077424	-0.0510528219771	0.0	-1.10047258837	-1.27499514489	2.1741449713	1.15309652864	-0.228006193419	1.04543715788	0.537379235229	-2.20473213578	0.948400829258
0	1	1	1	1	0	0	1	1	1	1	1	1	0.0	1.6111498122	-1.06086432602	-0.155531413918	0.0275827231045	0.0	0.0	-1.96390381908	2.02495495067	1.12202666926	-0.196711831272	1.06545437402	0.550842138814	-2.15181334585	0.953077276108
0	1	1	1	1	0	1	0	1	1	1	1	1	0.0	1.59578957858	-1.05370720423	-0.24508987634	0.0593897129384	0.0	-1.86981468904	0.0	2.02568475562	1.13780484403	-0.174910201631	1.06958400535	0.561301468733	-2.20152727959	0.947111047809
0	1	1	1	1	0	1	1	0	1	1	1	1	0.0	1.97603938655	-1.09916429586	0.567495322276	-0.228040404923	0.0	-0.778741736699	-0.993826947282	0.0	1.89680017165	-0.351333688163	1.18300522363	0.735201187749	-2.39920932271	0.945243634177
0	1	1	1	1	0	1	1	1	0	1	1	1	0.0	1.77496243976	-1.07285919024	0.195940873529	-0.0200592756187	0.0	-1.06914570441	-1.26062483421	2.49551264386	0.0	0.348707408188	1.02162254927	0.637998036153	-2.22920758852	0.944713478612
0	1	1	1	1	0	1	1	1	1	0	1	1	0.0	1.720246127	-1.08748734063	0.129475700471	-0.032420460669	0.0	-1.0819520152	-1.24529971135	2.21022772461	0.800474894919	0.0	1.03552807565	0.560517120306	-2.22731999643	0.948068492934
0	1	1	1	1	0	1	1	1	1	1	0	1	0.0	1.53614621625	-0.651368143085	-0.241100261215	-0.109158176284	0.0	-1.33775923345	-1.53066712866	2.92869825979	0.868486845827	-0.0300329595865	0.0	1.54375145797	-2.44647558534	0.945077466015
0	1	1	1	1	0	1	1	1	1	1	1	0	0.0	1.7329273356	-1.10129243342	0.177057102038	-0.0487377769461	0.0	-1.12753213514	-1.3172963388	2.35508964609	1.35626592571	-0.30457455504	1.21597637333	0.0	-2.17795353571	0.94901011252
0	1	1	1	1	1	0	1	1	1	1	1	1	0.0	1.68276051162	-0.989370624111	-0.0585123445753	-0.524591787886	-0.612135179224	0.0	-1.89413489897	2.06815421183	1.10577143096	-0.182306103712	1.06078065824	0.559944134514	-1.90448106312	0.952507556695
0	1	1	1	1	1	0	0	1	1	1	1	1	0.0	1.34203546436	-0.871715200646	-1.30802215872	-0.321629708802	-0.84031075931	0.0	0.0	1.49029591621	1.0251177488	0.0032863809152	1.15271749984	0.669558466103	-1.75914552326	0.95495260251
0	1	1	1	1	1	0	1	0	1	1	1	1	0.0	1.96807736612	-1.03141445998	0.441477365447	-0.633345783789	-0.526098546532	0.0	-1.43149559495	0.0	1.83925538337	-0.309475666314	1.19098896132	0.749870859002	-2.14687842099	0.948519520803
0	1	1	1	1	1	0	1	1	0	1	1	1	0.0	1.76649375153	-0.980975737647	0.0278497898455	-0.514512826359	-0.628745482585	0.0	-1.8609025692	2.3851552362	0.0	0.369742735783	1.03673519943	0.655006835898	-1.92100621324	0.950204940733
0	1	1	1	1	1	0	1	1	1	0	1	1	0.0	1.7096638307	-0.997238253536	-0.0412999131855	-0.519471976343	-0.620319715524	0.0	-1.8597323882	2.09850536948	0.825734124521	0.0	1.05275734261	0.577970743907	-1.9209715418	0.95219895868
0	1	1	1	1	1	0	1	1	1	1	0	1	0.0	1.49975073858	-0.529385712351	-0.470372646385	-0.62962550647	-0.705481500487	0.0	-2.28185297905	2.81396831624	0.80495590672	0.0256685161331	0.0	1.60547591567	-2.11401076725	0.950030859802
0	1	1	1	1	1	0	1	1	1	1	1	0	0.0	1.72555344578	-1.01707449727	-0.00400976128267	-0.502379910318	-0.593124650356	0.0	-1.95129248776	2.24378087843	1.31504963541	-0.256425772703	1.24146915395	0.0	-1.88763258618	0.953393786893
0	1	1	1	1	1	1	0	1	1	1	1	1	0.0	1.67226890869	-0.978924993885	-0.13715001516	-0.522718009768	-0.642143744418	-1.80674803231	0.0	2.0748549286	1.12058543815	-0.160596148035	1.06392768963	0.570352973246	-1.94109374815	0.947285128741
0	1	1	1	1	1	1	0	0	1	1	1	1	0.0	1.95165119594	-1.0203392577	0.361613128931	-0.627448272573	-0.553771926977	-1.33522773496	0.0	0.0	1.84607814167	-0.291702141278	1.19416825752	0.763002969198	-2.16991073297	0.944302014591
0	1	1	1	1	1	1	0	1	0	1	1	1	0.0	1.7525897514	-0.966560073327	-0.0540302626525	-0.512003708511	-0.661684596288	-1.76698651575	0.0	2.39589357282	0.0	0.397165705702	1.03904616363	0.671576782969	-1.95770581857	0.943819335644
0	1	1	1	1	1	1	0	1	1	0	1	1	0.0	1.69633241648	-0.985860197817	-0.118242575675	-0.518775977983	-0.649072830099	-1.77978002232	0.0	2.1015876169	0.873254393803	0.0	1.05682314163	0.585661422883	-1.95548319888	0.946794537024
0	1	1	1	1	1	1	0	1	1	1	0	1	0.0	1.48369574418	-0.510704231629	-0.559309491835	-0.628885335638	-0.746944268816	-2.18466457206	0.0	2.83021867646	0.819494132173	0.0508572810695	0.0	1.62612664993	-2.16168989805	0.944721391381
0	1	1	1	1	1	1	0	1	1	1	1	0	0.0	1.70857971072	-1.00179140338	-0.0869248319617	-0.5020759699	-0.62541300543	-1.85982079107	0.0	2.25764425442	1.3389112699	-0.238321779068	1.24812897632	0.0	-1.92550600225	0.947633290604
0	1	1	1	1	1	1	1	0	1	1	1	1	0.0	2.03757730808	-1.04704012516	0.647190813696	-0.671273041288	-0.495272848446	-0.748950252794	-0.947458247063	0.0	1.89337076182	-0.33886631271	1.18273362986	0.746376618287	-2.20139895367	0.945045814936
0	1	1	1	1	1	1	1	0	0	1	1	1	0.0	2.24913678241	-0.997503548088	0.905244679353	-0.690717602453	-0.511414008024	-0.60035543986	-0.843970085353	0.0	0.0	0.672523713552	1.17477130841	0.997874955996	-2.3155467864	0.930866131763
0	1	1	1	1	1	1	1	0	1	0	1	1	0.0	2.09311734232	-1.05565884909	0.680274815646	-0.665116762778	-0.51098837177	-0.70934911299	-0.89540433169	0.0	1.38957412071	0.0	1.17359858575	0.785093942659	-2.24435474893	0.943732295178
0	1	1	1	1	1	1	1	0	1	1	0	1	0.0	1.96055486154	-0.542988983877	0.421690773661	-0.842153187249	-0.533323182692	-0.892778944212	-1.12385793634	0.0	1.82562222224	-0.178656901831	0.0	2.05070546403	-2.50974385931	0.943494912089
0	1	1	1	1	1	1	1	0	1	1	1	0	0.0	2.12413470199	-1.06817661711	0.770086611384	-0.663782019234	-0.456254872916	-0.74531565817	-0.974823776666	0.0	2.27108206917	-0.456709781164	1.44602307032	0.0	-2.21951633813	0.947055658422
0	1	1	1	1	1	1	1	1	0	1	1	1	0.0	1.84102923404	-0.999373266029	0.281144025018	-0.562317017281	-0.600160374744	-1.04245804234	-1.21105037813	2.53214228406	0.0	0.354013152765	1.01726713635	0.644982817316	-1.98360143973	0.945022076627
0	1	1	1	1	1	1	1	1	0	0	1	1	0.0	1.78363335319	-0.910309840646	0.334012255248	-0.592641877575	-0.587261254436	-1.10402321627	-1.37093840083	2.96126966992	0.0	0.0	1.03304876894	0.713447881756	-1.89157376756	0.941864881546
0	1	1	1	1	1	1	1	1	0	1	0	1	0.0	1.66452318931	-0.570972443072	-0.0776748160477	-0.675125747946	-0.679014373745	-1.272910337	-1.44972615537	3.19775212803	0.0	0.408686310644	0.0	1.62147280349	-2.19551025686	0.944143759199
0	1	1	1	1	1	1	1	1	0	1	1	0	0.0	1.9100944845	-1.03191404698	0.375225797715	-0.534424009294	-0.580993785582	-1.06601831067	-1.26299187262	2.82528187118	0.0	0.386332969473	1.22604286648	0.0	-1.96750549661	0.945346500182
0	1	1	1	1	1	1	1	1	1	0	1	1	0.0	1.78792464596	-1.01702941337	0.212877801232	-0.566377189966	-0.590357742502	-1.05501102869	-1.19844730645	2.24619353594	0.807289414037	0.0	1.03187231169	0.567696587362	-1.98612984908	0.947807371536
0	1	1	1	1	1	1	1	1	1	0	0	1	0.0	1.60133699346	-0.567924847253	-0.146021510844	-0.686741346366	-0.662360970434	-1.30203900339	-1.46567730113	2.97712147414	0.823875016696	0.0	0.0	1.56049143218	-2.18713485925	0.945583883271
0	1	1	1	1	1	1	1	1	1	0	1	0	0.0	1.84182792924	-1.04726188682	0.282997118158	-0.543655421863	-0.575045936173	-1.07397447043	-1.23235511072	2.44489910743	0.9043761495	0.0	1.21355519818	0.0	-1.97761069646	0.948052667395
0	1	1	1	1	1	1	1	1	1	1	0	1	0.0	1.59894256635	-0.566855848147	-0.147527221609	-0.687329318199	-0.661812886729	-1.30342780229	-1.46784045702	2.97524859798	0.847681056931	-0.0155742362059	0.0	1.55972622275	-2.18598467312	0.945639272658
0	1	1	1	1	1	1	1	1	1	1	0	0	0.0	1.64492797179	-0.335886372433	-0.133230538793	-0.710052426311	-0.636550289137	-1.5685092843	-1.83158736366	4.24287040976	1.55318660493	-0.201201577857	0.0	0.0	-2.31477496633	0.932290430296
0	1	1	1	1	1	1	1	1	1	1	1	0	0.0	1.79817348622	-1.03588744131	0.258478662255	-0.552571366046	-0.561166964334	-1.09995198213	-1.27033467511	2.39380973061	1.34209512258	-0.290852811992	1.2148469948	0.0	-1.94895754844	0.948804380509
1	0	1	1	1	1	1	1	1	1	1	1	1	-2.00149608309	0.0	-0.555479519118	0.842120824097	-0.587097300823	-0.506249872913	0.136865039066	0.0150703410039	2.3886760673	1.24593237377	-0.324530298872	0.983799532701	0.491206072749	-1.90010982626	0.965872224596
1	0	0	1	1	1	1	1	1	1	1	1	1	-1.96280546019	0.0	0.0	0.774451945784	-0.740884777024	-0.588655766511	0.111380928839	-0.00551573548195	2.37801778618	1.21502205677	-0.322997463968	0.957338299969	0.496376039678	-2.2500991955	0.969535836934
1	0	0	0	1	1	1	1	1	1	1	1	1	-1.88273021869	0.0	0.0	0.0	-0.674339319122	-0.516198771275	0.227274757866	0.135284872086	2.51332474737	1.27630342276	-0.343455916538	0.943090776813	0.518320426982	-2.07146370306	0.969108547374
1	0	0	1	0	1	1	1	1	1	1	1	1	-1.90823226603	0.0	0.0	0.696185110764	0.0	-0.207217171839	0.111643797068	-0.00595021690735	2.39085663199	1.19693866175	-0.309627201611	0.959673149462	0.492640548719	-2.62495075783	0.969124372913
1	0	0	1	1	0	1	1	1	1	1	1	1	-1.94696710798	0.0	0.0	0.658479326463	-0.224338148044	0.0	0.071001289839	-0.0671843239002	2.32623719002	1.22475469963	-0.334335614468	0.958143038645	0.4877733367	-2.56862974391	0.969353843232
