B.B.G.: Black Bad Girls #21	Booty Back Packers	0.392857	0.626965	0.664269	0.468085	-0.0586	0	0	-2.369134
B.F.'s Daughter (Archive Collection/ On Demand DVD-R)	Blue Highways: Voices of the Other America	0.222222	0.638301	0.674471	0.329897	0.213496	1	0	-2.629220
B.F.G.: Big Friendly Giant	Big Break: Florida	0.222222	0.670565	0.703509	0.434783	-0.561421	0	0	-2.411382
B.F.G.: Big Friendly Giant / Toothbrush Family (2-Pack)	Britain from the Air: Flying Through History	0.196429	0.637843	0.674058	0.376238	0.213496	1	0	-2.587698
B.I.K.E.	B.O.G.E.	0.777778	0.851852	0.881481	0.777778	-0.984649	0	0	-0.436180
B.I.T.S. And Pieces: Step Ball Interval Training	Beyond Wall Street: The Art of Investing	0.265306	0.670558	0.703502	0.4	0.213496	1	0	-2.434069
B.J. Cole: Trouble In Paradise (DualDisc)	Bob the Builder: Project Build It	0.309524	0.653559	0.688203	0.394737	0.260387	1	0	-2.461628
B.J. Thomas: Christmas	Buy This Restaurant	0.304348	0.674303	0.706873	0.465116	-0.49895	0	0	-2.305846
B.J. Thomas: Hook On A Feeling: The Best Of B.J. Thomas (DualDisc)	Behind the Mask Show: The Story of the US Mercs Paintball Team	0.208955	0.613717	0.652345	0.353846	0.213496	1	0	-2.671070
B.J. Thomas: That Christmas Feeling (DVD/CD Combo)	Batalla de las Americas (Canada Competition)	0.235294	0.59976	0.639784	0.395833	0.213496	1	0	-2.646307
B.L. Stryker: The Best Of B.L. Stryker	B.L. Stryker	0.333333	0.74359	1	0.5	0.245174	1	1	-1.638342
B.L. Stryker: The Complete 1st & 2nd Seasons: The Complete Series	B.L. Stryker	0.19697	0.701632	1	0.329114	0.213496	1	1	-2.071677
B.L. Stryker: The Complete 1st Season	B.L. Stryker	0.342105	0.746289	1	0.509804	0.258545	1	1	-1.607766
B.L. Stryker: The Complete 2nd Season	B.L. Stryker	0.342105	0.746289	1	0.509804	0.258545	1	1	-1.607766
B.O.B.'s Big Break	Berlin Break	0.473684	0.68496	0.716464	0.5625	-0.539056	0	0	-1.954131
B.O.B.'s Big Break (Checkpoint)	Best Ranger Competition	0.1875	0.658292	0.692463	0.392857	0.501024	1	0	-2.516249
B.O.B.'s Big Break / Shrek 3-D: Party In The Swamp	B.O.X.	0.117647	0.604108	0.762465	0.206897	0.213496	1	0	-2.718164
B.O.B.'s Big Break / Shrek 3-D: Party In The Swamp (Checkpoint)	Behind the Mask Show: The Story of the US Mercs Paintball Team	0.203125	0.6134	0.65206	0.409449	0.213496	1	0	-2.608530
B.O.O.S.T. Karate For Children	B.O.O.S.	0.290323	0.715651	0.94313	0.45	0.224819	1	1	-1.907969
B.O.O.S.T. Karate For Children: By Robert Ferguson And Bill Wallace	B.O.O.S.	0.132353	0.668845	0.933769	0.233766	0.213496	1	1	-2.362653
B.O.Y.D.	B.O.G.E.	0.777778	0.851852	0.911111	0.777778	-0.980433	0	0	-0.383930
B.S. DVD Scrap	BS Detector	0.4	0.683333	0.715	0.518519	-1.014072	0	0	-2.112944
B.T.K.	B.O.X.	0.714286	0.809524	0.847619	0.714286	-0.913768	0	0	-0.838172
B.east	Beast	0.857143	0.952381	0.957143	0.923077	-0.738347	0	1	0.398903
B24: Bombers Over Normandy: The Victory Bombers	Buck Commander: Protected by Under Armour	0.270833	0.640873	0.676786	0.4	0.213496	1	0	-2.514057
B24: Target Japan: The Victory Bombers	Battleground Earth: Ludacris vs. Tommy Lee	0.179487	0.672302	0.705072	0.341463	0.213496	1	0	-2.542039
B24: Target Nazi Europe The Victory Bombers	Byzantium a Tale of Three Cities	0.295455	0.668586	0.701727	0.441558	0.452429	1	0	-2.363335
B24: Trilogy: Bombers Over Normandy: The Victory Bombers / Target Japan: The Victory Bombers / Target Nazi Europe ...	Brothers Grimm Fairy Tales: Poseidon God of Water - 20, Story Time	0.262712	0.559999	0.603999	0.378378	0.213496	1	0	-2.752137
B2K: Introducing B2K (DVD-Single)	BFD (Brain Food Daily)	0.323529	0.631117	0.668005	0.421053	0.913493	1	0	-2.479492
B2K: Introducing B2K (DVD-Single/ Jewelbox)	Big Ken Presents: Underground Videos	0.181818	0.614619	0.653157	0.37037	0.215064	1	0	-2.659753
B2K: Live At The House Of Blues	Bear in the Big Blue House	0.34375	0.692295	0.723065	0.508475	0.732091	1	0	-2.152635
B2K: Pandemonium! (DVD/CD Combo/ Special Edition)	Bizarre Foods - Delicious Destinations	0.26	0.619915	0.657923	0.382022	0.213496	1	0	-2.599072
B2K: Ultimate Video Collection	Ben 10: Ultimate Challenge	0.419355	0.711967	0.740771	0.62069	0.808365	1	0	-1.819134
B4 They Were ... Headliners, Vol. 1	Beyond Wall Street: The Art of Investing	0.055556	0.63802	0.674218	0.363636	0.213543	1	0	-2.634206
B4 They Were?, Vol. 2: The Four Horsemen	Best of Search for the Hottest Girl in America	0.121951	0.627051	0.664346	0.386364	0.213496	1	0	-2.626808
B4 They Were?, Vol. 3: The Clique: Shawn Michael / Scott Hall	Behind the Mask Show: The Story of the US Mercs Paintball Team	0.193548	0.651182	0.686063	0.4	0.213496	1	0	-2.524231
B4U Full Volume	Bob's Full House	0.5625	0.778186	0.800368	0.666667	-0.973408	0	0	-1.318334
B5: The Journey So Far	Better Than Four	0.304348	0.679789	0.71181	0.45	-0.559397	0	0	-2.311854
BARS [Bay Area Rap Scene] Awards: 1st Annual	Buddy Bear's Musical Adventure Happy and You Know It	0.088889	0.64142	0.677278	0.367347	0.213496	1	0	-2.617897
BASEketball	Basketball	0.75	0.856061	0.870455	0.782609	-0.915104	0	1	-0.481742
BASToF Syndrome #1: Fear & Lemons	BASToF Syndrome	0.470588	0.792892	1	0.64	0.895464	1	1	-1.120631
BASToF Syndrome #2: The Hacker	BASToF Syndrome	0.516129	0.807124	1	0.680851	0.860285	1	1	-0.944909
BASToF Syndrome #3: Riddle's Interventions	BASToF Syndrome	0.372093	0.762112	1	0.542373	0.321286	1	1	-1.487966
BASToF Syndrome #4: Secrets Revealed	BASToF Syndrome	0.432432	0.780968	1	0.603774	0.698986	1	1	-1.265384
BASToF Syndrome #5: Past Echoes	BASToF Syndrome	0.5	0.802083	1	0.666667	0.900675	1	1	-1.007452
BASToF Syndrome #6: Endgame	BASToF Syndrome	0.571429	0.824405	1	0.727273	0.26186	1	1	-0.728597
BB2005/06: Communication Agencies In Sweden (Book w/ DVD)	Buongiorno Cina - Storie del secolo cinese	0.241379	0.632338	0.669104	0.376238	0.213496	1	0	-2.582590
BBC Acting Series: Acting In Film: Michael Caine	Bassie en Adriaan en het geheim van de sleutel	0.244898	0.652971	0.687674	0.395833	0.213496	1	0	-2.500356
BBC Acting Series: Acting In High Comedy: Maria Aitken	Bassie en Adriaan en het geheim van de schatkaart	0.236364	0.657256	0.69153	0.380952	0.213496	1	0	-2.511715
BBC Acting Series: Acting In Opera: Jonathan Miller	BBC Learning Episode: Brazil - Music Dance and Art	0.269231	0.677208	0.806325	0.427184	0.213496	1	0	-2.241516
BBC Acting Series: Acting In Restoration Comedy: Simon Callow	Battle Jar: Resolving Arguments Since the Dawn of Time	0.225806	0.677835	0.710052	0.393162	0.213496	1	0	-2.443943
